person,question,response_n,response,choices_json
p33,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p34,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p34,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p35,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p35,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p35,At what kind of facilities would you like to see the meetup?,2,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p35,At what kind of facilities would you like to see the meetup?,3,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p36,At what kind of facilities would you like to see the meetup?,0,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p36,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p36,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p37,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p37,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p38,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p38,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p38,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p39,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p39,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p39,At what kind of facilities would you like to see the meetup?,2,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p39,At what kind of facilities would you like to see the meetup?,3,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p40,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p40,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p41,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p41,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p42,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p42,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p43,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p43,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p44,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p44,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p44,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p45,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p45,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p45,At what kind of facilities would you like to see the meetup?,2,University works best for many and many (like Wisconsin Institute for Discovery or CS/engineering department),"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p46,At what kind of facilities would you like to see the meetup?,0,,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p47,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p47,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p48,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p49,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p49,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p49,At what kind of facilities would you like to see the meetup?,2,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p50,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p50,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p50,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p51,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p51,At what kind of facilities would you like to see the meetup?,1,Central Lib - bars after! :),"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p52,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p52,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p53,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p53,At what kind of facilities would you like to see the meetup?,1,Place with meeting space and access to food/beer,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p54,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p55,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p55,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p56,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p56,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p56,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p57,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p57,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p57,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p58,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p58,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p59,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p59,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p59,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p60,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p60,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p61,At what kind of facilities would you like to see the meetup?,0,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p62,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p62,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p62,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p63,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p63,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p63,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p64,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p64,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p65,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p65,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p66,At what kind of facilities would you like to see the meetup?,0,,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p67,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p67,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p67,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p68,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p68,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p68,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p69,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p69,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p70,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p70,At what kind of facilities would you like to see the meetup?,1,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p71,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p71,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p71,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p72,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p73,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p73,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p73,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p74,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p74,At what kind of facilities would you like to see the meetup?,1,Bars,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p74,At what kind of facilities would you like to see the meetup?,2,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p74,At what kind of facilities would you like to see the meetup?,3,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p75,At what kind of facilities would you like to see the meetup?,0,Libraries,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p75,At what kind of facilities would you like to see the meetup?,1,Restaurants,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
p75,At what kind of facilities would you like to see the meetup?,2,Offices,"[""Libraries"", ""Bars"", ""Restaurants"", ""Offices"", ""Other:""]"
