person,question,response_str,response_n,response
p81,q9,"Libraries, Bars, Restaurants, coffee shops",1,Bars
p81,q9,"Libraries, Bars, Restaurants, coffee shops",2,Restaurants
p81,q9,"Libraries, Bars, Restaurants, coffee shops",3,coffee shops
p16,q9,,0,
p71,q9,"Libraries, Bars, Offices",0,Libraries
p71,q9,"Libraries, Bars, Offices",1,Bars
p71,q9,"Libraries, Bars, Offices",2,Offices
p37,q9,"Libraries, Offices",0,Libraries
p37,q9,"Libraries, Offices",1,Offices
p49,q9,"Libraries, Offices",0,Libraries
p49,q9,"Libraries, Offices",1,Offices
p8,q9,"Bars, Offices, classrooms",0,Bars
p8,q9,"Bars, Offices, classrooms",1,Offices
p8,q9,"Bars, Offices, classrooms",2,classrooms
p62,q9,"Libraries, Offices",0,Libraries
p62,q9,"Libraries, Offices",1,Offices
p39,q9,Libraries,0,Libraries
p20,q9,Offices,0,Offices
p84,q9,"Libraries, Restaurants, Offices",0,Libraries
p84,q9,"Libraries, Restaurants, Offices",1,Restaurants
p84,q9,"Libraries, Restaurants, Offices",2,Offices
p43,q9,"Libraries, Offices",0,Libraries
p43,q9,"Libraries, Offices",1,Offices
p9,q9,"Libraries, Bars, Offices",0,Libraries
p9,q9,"Libraries, Bars, Offices",1,Bars
p9,q9,"Libraries, Bars, Offices",2,Offices
p23,q9,"Libraries, Offices",0,Libraries
p23,q9,"Libraries, Offices",1,Offices
p44,q9,"Libraries, Offices, University works best for many and many (like Wisconsin Institute for Discovery or CS/engineering department)",0,Libraries
p44,q9,"Libraries, Offices, University works best for many and many (like Wisconsin Institute for Discovery or CS/engineering department)",1,Offices
p44,q9,"Libraries, Offices, University works best for many and many (like Wisconsin Institute for Discovery or CS/engineering department)",2,University works best for many and many (like Wisconsin Institute for Discovery or CS/engineering department)
p19,q9,"Libraries, Offices",0,Libraries
p19,q9,"Libraries, Offices",1,Offices
p24,q9,"Libraries, Bars, Offices",0,Libraries
p24,q9,"Libraries, Bars, Offices",1,Bars
p24,q9,"Libraries, Bars, Offices",2,Offices
p82,q9,"Libraries, Restaurants, Offices",0,Libraries
p82,q9,"Libraries, Restaurants, Offices",1,Restaurants
p82,q9,"Libraries, Restaurants, Offices",2,Offices
p21,q9,"Libraries, Restaurants, Offices",0,Libraries
p21,q9,"Libraries, Restaurants, Offices",1,Restaurants
p21,q9,"Libraries, Restaurants, Offices",2,Offices
p26,q9,"Libraries, Bars, Offices",0,Libraries
p26,q9,"Libraries, Bars, Offices",1,Bars
p26,q9,"Libraries, Bars, Offices",2,Offices
p29,q9,"Libraries, Offices",0,Libraries
p29,q9,"Libraries, Offices",1,Offices
p45,q4,"Intermediate, Expert",0,Intermediate
p45,q4,"Intermediate, Expert",1,Expert
p77,q4,"Introductory, Intermediate, Expert",0,Introductory
p77,q4,"Introductory, Intermediate, Expert",1,Intermediate
p77,q4,"Introductory, Intermediate, Expert",2,Expert
p78,q4,"Introductory, Intermediate, Expert",0,Introductory
p78,q4,"Introductory, Intermediate, Expert",1,Intermediate
p78,q4,"Introductory, Intermediate, Expert",2,Expert
p51,q4,"Introductory, Intermediate, Expert",0,Introductory
p51,q4,"Introductory, Intermediate, Expert",1,Intermediate
p51,q4,"Introductory, Intermediate, Expert",2,Expert
p53,q4,"Intermediate, Expert",0,Intermediate
p53,q4,"Intermediate, Expert",1,Expert
p32,q4,"Introductory, Intermediate, Expert",0,Introductory
p32,q4,"Introductory, Intermediate, Expert",1,Intermediate
p32,q4,"Introductory, Intermediate, Expert",2,Expert
p66,q4,"Introductory, Intermediate",0,Introductory
p66,q4,"Introductory, Intermediate",1,Intermediate
p3,q4,"Introductory, Beginner, Intermediate, Expert",0,Introductory
p3,q4,"Introductory, Beginner, Intermediate, Expert",1,Beginner
p3,q4,"Introductory, Beginner, Intermediate, Expert",2,Intermediate
p3,q4,"Introductory, Beginner, Intermediate, Expert",3,Expert
p80,q4,"Introductory, Intermediate, Expert",0,Introductory
p80,q4,"Introductory, Intermediate, Expert",1,Intermediate
p80,q4,"Introductory, Intermediate, Expert",2,Expert
p33,q4,Expert,0,Expert
p34,q4,Intermediate,0,Intermediate
p41,q4,Intermediate,0,Intermediate
p42,q4,"Intermediate, Expert",0,Intermediate
p42,q4,"Intermediate, Expert",1,Expert
p46,q4,"Introductory, Intermediate, Expert",0,Introductory
p46,q4,"Introductory, Intermediate, Expert",1,Intermediate
p46,q4,"Introductory, Intermediate, Expert",2,Expert
p13,q4,Intermediate,0,Intermediate
p74,q4,"Intermediate, Expert",0,Intermediate
p74,q4,"Intermediate, Expert",1,Expert
p83,q4,"Intermediate, Expert",0,Intermediate
p83,q4,"Intermediate, Expert",1,Expert
p18,q4,"Intermediate, Expert",0,Intermediate
p18,q4,"Intermediate, Expert",1,Expert
p22,q4,"Intermediate, Expert",0,Intermediate
p22,q4,"Intermediate, Expert",1,Expert
p58,q4,"Intermediate, Expert",0,Intermediate
p58,q4,"Intermediate, Expert",1,Expert
p30,q4,"Intermediate, Expert",0,Intermediate
p30,q4,"Intermediate, Expert",1,Expert
p52,q4,"Introductory, Intermediate",0,Introductory
p52,q4,"Introductory, Intermediate",1,Intermediate
p73,q4,"Intermediate, Expert",0,Intermediate
p73,q4,"Intermediate, Expert",1,Expert
p64,q4,"Introductory, Intermediate, Expert",0,Introductory
p64,q4,"Introductory, Intermediate, Expert",1,Intermediate
p64,q4,"Introductory, Intermediate, Expert",2,Expert
p56,q4,"Introductory, Intermediate",0,Introductory
p56,q4,"Introductory, Intermediate",1,Intermediate
p63,q4,"Introductory, Intermediate, Expert",0,Introductory
p63,q4,"Introductory, Intermediate, Expert",1,Intermediate
p63,q4,"Introductory, Intermediate, Expert",2,Expert
p2,q4,,0,
p50,q4,"Introductory, Intermediate",0,Introductory
p50,q4,"Introductory, Intermediate",1,Intermediate
p68,q4,Introductory,0,Introductory
p1,q4,,0,
p36,q4,"Introductory, Intermediate, Expert",0,Introductory
p36,q4,"Introductory, Intermediate, Expert",1,Intermediate
p36,q4,"Introductory, Intermediate, Expert",2,Expert
p12,q4,"Introductory, Intermediate, Expert",0,Introductory
p12,q4,"Introductory, Intermediate, Expert",1,Intermediate
p12,q4,"Introductory, Intermediate, Expert",2,Expert
p65,q4,"Introductory, Intermediate",0,Introductory
p65,q4,"Introductory, Intermediate",1,Intermediate
p38,q4,Intermediate,0,Intermediate
p76,q4,"Introductory, Intermediate, Expert",0,Introductory
p76,q4,"Introductory, Intermediate, Expert",1,Intermediate
p76,q4,"Introductory, Intermediate, Expert",2,Expert
p27,q4,"Introductory, Intermediate, Expert",0,Introductory
p27,q4,"Introductory, Intermediate, Expert",1,Intermediate
p27,q4,"Introductory, Intermediate, Expert",2,Expert
p35,q4,"Introductory, Intermediate",0,Introductory
p35,q4,"Introductory, Intermediate",1,Intermediate
p15,q4,"Intermediate, Expert",0,Intermediate
p15,q4,"Intermediate, Expert",1,Expert
p57,q4,"Intermediate, Expert",0,Intermediate
p57,q4,"Intermediate, Expert",1,Expert
p0,q4,,0,
p14,q4,Intermediate,0,Intermediate
p7,q4,"Introductory, Intermediate",0,Introductory
p7,q4,"Introductory, Intermediate",1,Intermediate
p40,q4,"Intermediate, Expert",0,Intermediate
p40,q4,"Intermediate, Expert",1,Expert
p55,q4,"Intermediate, Expert",0,Intermediate
p55,q4,"Intermediate, Expert",1,Expert
p59,q4,"Intermediate, Expert",0,Intermediate
p59,q4,"Intermediate, Expert",1,Expert
p79,q4,"Introductory, Intermediate, Expert",0,Introductory
p79,q4,"Introductory, Intermediate, Expert",1,Intermediate
p79,q4,"Introductory, Intermediate, Expert",2,Expert
p60,q4,Intermediate,0,Intermediate
p6,q4,"Intermediate, Expert",0,Intermediate
p6,q4,"Intermediate, Expert",1,Expert
p48,q4,"Introductory, Intermediate, Expert",0,Introductory
p48,q4,"Introductory, Intermediate, Expert",1,Intermediate
p48,q4,"Introductory, Intermediate, Expert",2,Expert
p5,q4,"Introductory, Beginner, Intermediate, Expert",0,Introductory
p5,q4,"Introductory, Beginner, Intermediate, Expert",1,Beginner
p5,q4,"Introductory, Beginner, Intermediate, Expert",2,Intermediate
p5,q4,"Introductory, Beginner, Intermediate, Expert",3,Expert
p67,q4,Intermediate,0,Intermediate
p54,q4,"Introductory, Intermediate, Expert",0,Introductory
