person,question,response_n,response
p91,At what kind of facilities would you like to see the meetup?,1,Restaurants
p91,At what kind of facilities would you like to see the meetup?,2,Offices
p92,At what kind of facilities would you like to see the meetup?,0,Libraries
p92,At what kind of facilities would you like to see the meetup?,1,Bars
p92,At what kind of facilities would you like to see the meetup?,2,Restaurants
p92,At what kind of facilities would you like to see the meetup?,3,Offices
p92,At what kind of facilities would you like to see the meetup?,4,Campus
p93,At what kind of facilities would you like to see the meetup?,0,Libraries
p94,At what kind of facilities would you like to see the meetup?,0,
p95,At what kind of facilities would you like to see the meetup?,0,Libraries
p95,At what kind of facilities would you like to see the meetup?,1,Offices
p96,At what kind of facilities would you like to see the meetup?,0,Libraries
p96,At what kind of facilities would you like to see the meetup?,1,Bars
p96,At what kind of facilities would you like to see the meetup?,2,Offices
p97,At what kind of facilities would you like to see the meetup?,0,Libraries
p97,At what kind of facilities would you like to see the meetup?,1,Restaurants
p97,At what kind of facilities would you like to see the meetup?,2,Offices
p98,At what kind of facilities would you like to see the meetup?,0,Libraries
p98,At what kind of facilities would you like to see the meetup?,1,Offices
p99,At what kind of facilities would you like to see the meetup?,0,Libraries
p99,At what kind of facilities would you like to see the meetup?,1,Bars
p99,At what kind of facilities would you like to see the meetup?,2,Restaurants
p99,At what kind of facilities would you like to see the meetup?,3,Offices
p99,At what kind of facilities would you like to see the meetup?,4,Depends on the purpose of the specific meetup. more quiet for presentations/hacks
p99,At what kind of facilities would you like to see the meetup?,5,more load for more social
p100,At what kind of facilities would you like to see the meetup?,0,Libraries
p100,At what kind of facilities would you like to see the meetup?,1,Offices
p0,At what skill level would you like to see events hosted?,0,Introductory
p0,At what skill level would you like to see events hosted?,1,Intermediate
p0,At what skill level would you like to see events hosted?,2,Expert
p1,At what skill level would you like to see events hosted?,0,Intermediate
p1,At what skill level would you like to see events hosted?,1,Expert
p2,At what skill level would you like to see events hosted?,0,Intermediate
p2,At what skill level would you like to see events hosted?,1,Expert
p3,At what skill level would you like to see events hosted?,0,Introductory
p3,At what skill level would you like to see events hosted?,1,Intermediate
p3,At what skill level would you like to see events hosted?,2,Expert
p4,At what skill level would you like to see events hosted?,0,Introductory
p4,At what skill level would you like to see events hosted?,1,Intermediate
p4,At what skill level would you like to see events hosted?,2,Expert
p5,At what skill level would you like to see events hosted?,0,Introductory
p5,At what skill level would you like to see events hosted?,1,Intermediate
p6,At what skill level would you like to see events hosted?,0,Intermediate
p6,At what skill level would you like to see events hosted?,1,Expert
p7,At what skill level would you like to see events hosted?,0,Intermediate
p7,At what skill level would you like to see events hosted?,1,Expert
p8,At what skill level would you like to see events hosted?,0,Intermediate
p8,At what skill level would you like to see events hosted?,1,Expert
p9,At what skill level would you like to see events hosted?,0,Intermediate
p9,At what skill level would you like to see events hosted?,1,Expert
p10,At what skill level would you like to see events hosted?,0,Intermediate
p11,At what skill level would you like to see events hosted?,0,Intermediate
p12,At what skill level would you like to see events hosted?,0,Intermediate
p12,At what skill level would you like to see events hosted?,1,Expert
p13,At what skill level would you like to see events hosted?,0,Intermediate
p14,At what skill level would you like to see events hosted?,0,Introductory
p14,At what skill level would you like to see events hosted?,1,Intermediate
p14,At what skill level would you like to see events hosted?,2,Expert
p15,At what skill level would you like to see events hosted?,0,Intermediate
p15,At what skill level would you like to see events hosted?,1,Expert
p16,At what skill level would you like to see events hosted?,0,Intermediate
p16,At what skill level would you like to see events hosted?,1,Expert
p17,At what skill level would you like to see events hosted?,0,Introductory
p17,At what skill level would you like to see events hosted?,1,Intermediate
p18,At what skill level would you like to see events hosted?,0,Introductory
p18,At what skill level would you like to see events hosted?,1,Intermediate
p19,At what skill level would you like to see events hosted?,0,Introductory
p19,At what skill level would you like to see events hosted?,1,Intermediate
p20,At what skill level would you like to see events hosted?,0,Introductory
p20,At what skill level would you like to see events hosted?,1,Intermediate
p21,At what skill level would you like to see events hosted?,0,Intermediate
p22,At what skill level would you like to see events hosted?,0,Introductory
p22,At what skill level would you like to see events hosted?,1,Intermediate
p22,At what skill level would you like to see events hosted?,2,Expert
p23,At what skill level would you like to see events hosted?,0,Introductory
p23,At what skill level would you like to see events hosted?,1,Intermediate
p23,At what skill level would you like to see events hosted?,2,Expert
p24,At what skill level would you like to see events hosted?,0,
p25,At what skill level would you like to see events hosted?,0,Intermediate
p26,At what skill level would you like to see events hosted?,0,Intermediate
p26,At what skill level would you like to see events hosted?,1,Expert
p27,At what skill level would you like to see events hosted?,0,Introductory
p27,At what skill level would you like to see events hosted?,1,Intermediate
p27,At what skill level would you like to see events hosted?,2,Expert
p28,At what skill level would you like to see events hosted?,0,Introductory
p28,At what skill level would you like to see events hosted?,1,Intermediate
p29,At what skill level would you like to see events hosted?,0,Introductory
p29,At what skill level would you like to see events hosted?,1,Intermediate
p30,At what skill level would you like to see events hosted?,0,Intermediate
p31,At what skill level would you like to see events hosted?,0,Intermediate
p31,At what skill level would you like to see events hosted?,1,Expert
p32,At what skill level would you like to see events hosted?,0,Introductory
p32,At what skill level would you like to see events hosted?,1,Intermediate
p32,At what skill level would you like to see events hosted?,2,Expert
p33,At what skill level would you like to see events hosted?,0,Introductory
p33,At what skill level would you like to see events hosted?,1,Intermediate
p33,At what skill level would you like to see events hosted?,2,Expert
p34,At what skill level would you like to see events hosted?,0,Intermediate
p34,At what skill level would you like to see events hosted?,1,Expert
p35,At what skill level would you like to see events hosted?,0,Introductory
p35,At what skill level would you like to see events hosted?,1,Intermediate
p36,At what skill level would you like to see events hosted?,0,Intermediate
p37,At what skill level would you like to see events hosted?,0,Intermediate
p38,At what skill level would you like to see events hosted?,0,
p39,At what skill level would you like to see events hosted?,0,Introductory
p39,At what skill level would you like to see events hosted?,1,Intermediate
p39,At what skill level would you like to see events hosted?,2,Expert
p40,At what skill level would you like to see events hosted?,0,Intermediate
p40,At what skill level would you like to see events hosted?,1,Expert
p41,At what skill level would you like to see events hosted?,0,Intermediate
p41,At what skill level would you like to see events hosted?,1,Expert
p42,At what skill level would you like to see events hosted?,0,Introductory
p42,At what skill level would you like to see events hosted?,1,Intermediate
p42,At what skill level would you like to see events hosted?,2,Expert
p43,At what skill level would you like to see events hosted?,0,Intermediate
p44,At what skill level would you like to see events hosted?,0,Introductory
p45,At what skill level would you like to see events hosted?,0,Introductory
p45,At what skill level would you like to see events hosted?,1,Intermediate
p46,At what skill level would you like to see events hosted?,0,Introductory
p47,At what skill level would you like to see events hosted?,0,Introductory
p47,At what skill level would you like to see events hosted?,1,Intermediate
p47,At what skill level would you like to see events hosted?,2,Expert
p48,At what skill level would you like to see events hosted?,0,Introductory
p48,At what skill level would you like to see events hosted?,1,Intermediate
p48,At what skill level would you like to see events hosted?,2,Expert
p49,At what skill level would you like to see events hosted?,0,Introductory
p49,At what skill level would you like to see events hosted?,1,Intermediate
p49,At what skill level would you like to see events hosted?,2,Expert
p50,At what skill level would you like to see events hosted?,0,Introductory
p50,At what skill level would you like to see events hosted?,1,Intermediate
p50,At what skill level would you like to see events hosted?,2,Expert
p51,At what skill level would you like to see events hosted?,0,Intermediate
p51,At what skill level would you like to see events hosted?,1,Expert
p52,At what skill level would you like to see events hosted?,0,Introductory
p52,At what skill level would you like to see events hosted?,1,Intermediate
p52,At what skill level would you like to see events hosted?,2,Expert
p53,At what skill level would you like to see events hosted?,0,Introductory
p53,At what skill level would you like to see events hosted?,1,Intermediate
p54,At what skill level would you like to see events hosted?,0,Introductory
p54,At what skill level would you like to see events hosted?,1,Intermediate
p55,At what skill level would you like to see events hosted?,0,Introductory
p55,At what skill level would you like to see events hosted?,1,Intermediate
p55,At what skill level would you like to see events hosted?,2,Expert
p56,At what skill level would you like to see events hosted?,0,Introductory
p56,At what skill level would you like to see events hosted?,1,Intermediate
p56,At what skill level would you like to see events hosted?,2,Expert
p57,At what skill level would you like to see events hosted?,0,Introductory
p57,At what skill level would you like to see events hosted?,1,Intermediate
p58,At what skill level would you like to see events hosted?,0,Intermediate
p58,At what skill level would you like to see events hosted?,1,Expert
p59,At what skill level would you like to see events hosted?,0,Intermediate
p59,At what skill level would you like to see events hosted?,1,Expert
p60,At what skill level would you like to see events hosted?,0,Introductory
p60,At what skill level would you like to see events hosted?,1,Intermediate
p61,At what skill level would you like to see events hosted?,0,Introductory
p61,At what skill level would you like to see events hosted?,1,Intermediate
p61,At what skill level would you like to see events hosted?,2,Expert
p62,At what skill level would you like to see events hosted?,0,Introductory
p62,At what skill level would you like to see events hosted?,1,Intermediate
p62,At what skill level would you like to see events hosted?,2,Expert
p63,At what skill level would you like to see events hosted?,0,Introductory
p63,At what skill level would you like to see events hosted?,1,Intermediate
p64,At what skill level would you like to see events hosted?,0,Intermediate
p64,At what skill level would you like to see events hosted?,1,Expert
p65,At what skill level would you like to see events hosted?,0,Introductory
p65,At what skill level would you like to see events hosted?,1,Beginner
p65,At what skill level would you like to see events hosted?,2,Intermediate
p65,At what skill level would you like to see events hosted?,3,Expert
p66,At what skill level would you like to see events hosted?,0,Introductory
p66,At what skill level would you like to see events hosted?,1,Intermediate
p66,At what skill level would you like to see events hosted?,2,Expert
p67,At what skill level would you like to see events hosted?,0,Introductory
p67,At what skill level would you like to see events hosted?,1,Intermediate
p68,At what skill level would you like to see events hosted?,0,Introductory
p68,At what skill level would you like to see events hosted?,1,Intermediate
p69,At what skill level would you like to see events hosted?,0,Introductory
p69,At what skill level would you like to see events hosted?,1,Intermediate
p69,At what skill level would you like to see events hosted?,2,Expert
p70,At what skill level would you like to see events hosted?,0,Intermediate
p70,At what skill level would you like to see events hosted?,1,Expert
p71,At what skill level would you like to see events hosted?,0,Introductory
p71,At what skill level would you like to see events hosted?,1,Intermediate
p71,At what skill level would you like to see events hosted?,2,Expert
p72,At what skill level would you like to see events hosted?,0,Introductory
p73,At what skill level would you like to see events hosted?,0,Introductory
p73,At what skill level would you like to see events hosted?,1,Intermediate
p73,At what skill level would you like to see events hosted?,2,Expert
p74,At what skill level would you like to see events hosted?,0,Intermediate
p75,At what skill level would you like to see events hosted?,0,Intermediate
p76,At what skill level would you like to see events hosted?,0,Intermediate
p76,At what skill level would you like to see events hosted?,1,Expert
p77,At what skill level would you like to see events hosted?,0,Introductory
p77,At what skill level would you like to see events hosted?,1,Intermediate
